COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for
Basking Shark,Pacific population,Endangered,4/27/2018,Cetorhinus maximus,Basking Shark,Pacific population,Endangered,Schedule 1,2/23/2010,"British Columbia, Pacific Ocean",Fishes (marine),
Big Skate,,Not at Risk,4/22/2007,Raja binoculata,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Blue Shark,North Pacific population,Not at Risk,11/27/2016,Prionace glauca,Blue Shark,North Pacific population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Bluntnose Sixgill Shark,,Special Concern,4/22/2007,Hexanchus griseus,Bluntnose Sixgill Shark,,Special Concern,Schedule 1,3/5/2009,Pacific Ocean,Fishes (marine),
Bocaccio,,Endangered,11/1/2013,Sebastes paucispinis,Bocaccio,,No Status,No schedule,,Pacific Ocean,Fishes (marine),Addition
Brown Cat Shark,,Data Deficient,4/22/2007,Apristurus brunneus,Brown Cat Shark,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Canary Rockfish,,Threatened,11/30/2007,Sebastes pinniger,Canary Rockfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Chinook Salmon,"East Vancouver Island, Ocean, Fall (EVI + SFj) population",Not at Risk,11/4/2020,Oncorhynchus tshawytscha,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"East Vancouver Island, Ocean, Fall population",Special Concern,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"East Vancouver Island, Ocean, Summer population",Endangered,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"East Vancouver Island, Stream, Spring population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Ocean, Fall population",Threatened,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Ocean, Summer population",Endangered,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Lower Fraser, Stream, Spring population",Special Concern,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Stream, Summer population",Threatened,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Thompson, Stream, Spring population",Endangered,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Thompson, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Middle Fraser, Stream, Fall population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",Threatened,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Middle Fraser, Stream, Spring population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Middle Fraser, Stream, Summer population",Threatened,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"North Thompson, Stream, Spring population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"North Thompson, Stream, Summer population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,Okanagan population,Endangered,4/28/2017,Oncorhynchus tshawytscha,Chinook Salmon,Okanagan population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"South Coast - Georgia Strait, Ocean, Fall population",Data Deficient,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"South Coast - Georgia Strait, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"South Coast - Southern Fjords, Ocean, Fall population",Data Deficient,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"South Coast - Southern Fjords, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"South Thompson, Ocean, Summer population",Not at Risk,11/1/2018,Oncorhynchus tshawytscha,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",Endangered,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",Threatened,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Southern Mainland, Ocean, Summer population",Data Deficient,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Southern Mainland, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Southern Mainland, Stream, Summer population",Data Deficient,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Southern Mainland, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Upper Fraser, Stream, Spring population",Endangered,11/1/2018,Oncorhynchus tshawytscha,Chinook Salmon,"Upper Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",Threatened,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"West Vancouver Island, Ocean, Fall (South) population",Threatened,11/4/2020,Oncorhynchus tshawytscha,Chinook Salmon,"West Vancouver Island, Ocean, Fall (South) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
