species_common_name,summary
arrowtooth flounder,"Arrowtooth Flounder were caught mostly by bottom trawl. Most of the catch came from Areas 5D, 5B, and 3D, with negligible catch in Area 4B. The largest catch occurred in 2005, but the largest specimen collection was in 2001. Unsorted specimen collection ended in 2017, lacking data from only 1997. Sorted specimen collection occurred from 1997 to 2020, with several small gaps from 2010 to 2015. Nearly all unsorted samples had latitude and longitude data. All samples that lacked spatial coordinates were collected between 2009 and 2011. Cumulative total sampling and catch profiles matched in most of the years with biological sampling, particularly from 2001 to 2015. Area 5B had the most representative sampling. Between 1996 and 2022, 35256 unsorted specimens were collected, and of these, 17477 (50%) had age structures, and 3098 (9% of specimens; 18% of age structures) were aged. All unsorted specimens had lengths; of these, 18470 (52%) were sexed, while 340 (1%) had weights."
big skate,"Big Skate were primarily caught by bottom trawl, but some were caught by midwater trawl and hook and line. The catch and specimen collection mainly occurred in Areas 5D and 5B. The other areas had little, if any, catch. The largest catch and specimen collection occurred in 2003, both of which have since steadily declined. Unsorted specimens were collected consistently from 2001 to 2015. Sorted specimen collection occurred from 2001 to 2016, with gaps from 2006 to 2009 and 2013 to 2015. All unsorted samples had latitude and longitude data. Cumulative total sampling and catch profiles matched during roughly half of the years with biological sampling, particularly from 2002 to 2005. Area 5B had the most representative sampling. Between 1996 and 2022, 6850 unsorted specimens were collected, and none had age structures. All unsorted specimens had lengths; of these, 58 (1%) were sexed, and none had weights."
bocaccio,"Bocaccio were caught by bottom and midwater trawl and occasionally by hook and line. The catch and specimen collection mainly occurred in Areas 5AB and 3CD. Area 4B had negligible catch. There have been no reported trawl landings of Bocaccio from the Strait of Georgia since 1983. Any catch in 4B came from minor areas 12 (Queen Charlotte Strait) and 20 (Juan de Fuca Strait) (Figure \@ref(fig: minor-area-map)) [@cosewic2002bocaccio]. The largest catch occurred in 2022, while specimen collection peaked in 1999, 2004, and 2019. Unsorted specimen collection occurred from 2004 to 2020 but had gaps in 2012 and 2016 to 2019. Sorted specimen collection occurred from 1996 to 2020 but had several gaps. Nearly all unsorted samples had latitude and longitude data. All samples lacking spatial coordinates were collected in Area 3D in 2010. Cumulative total sampling tended to lead cumulative total catch in most years with biological samples. Between 1996 and 2022, 1493 unsorted specimens were collected, and of these, 1407 (94%) had age structures, and 1206 (81% of specimens; 86% of age structures) were aged. All unsorted specimens had lengths; of these, 1378 (92%) were sexed, while 76 (5%) had weights."
canary rockfish,"Canary Rockfish were primarily caught by bottom and midwater trawl, while some were caught by hook and line. Area 3D had the most catch and specimens collected. Area 4B had negligible catch. Catch remained relatively consistent, while specimen collection decreased significantly after peaking in 1999. Unsorted specimen collection ended in 2018, missing only 2000 and 2016. Sorted specimen collection ended in 2020, with a large gap from 2010 to 2015. Nearly all unsorted samples had latitude and longitude data. Most samples lacking spatial coordinates were collected from 2009 to 2018. Cumulative total sampling and catch profiles matched in roughly half of the years with biological samples. Between 1996 and 2022, 6988 unsorted specimens were collected, and of these, 4219 (60%) had age structures, and 3843 (55% of specimens; 91% of age structures) were aged. All unsorted specimens had lengths; of these, 4415 (63%) were sexed, while 1078 (15%) had weights."
dover sole,"Dover Sole were caught mostly by bottom trawl. The catch and specimen collection mainly occurred in Areas 5D and 3C. The catch in 4B was low. The total catch peaked in 2002 and then decreased until 2010. The specimen collection increased suddenly in 1998, then decreased quickly after 1999. The unsorted specimens were collected consistently until 2015. Sorted specimen collection ended in 2019, with a large gap from 2010 to 2015. Nearly all unsorted samples had latitude and longitude data. The samples that lacked spatial coordinates were collected in 1996, 2010, 2011, and 2013. Cumulative total sampling and catch profiles matched in most years with biological samples, particularly from 1999 to 2006. Areas 5D and 3C had the most representative sampling. Between 1996 and 2022, 19927 unsorted specimens were collected, and of these, 8612 (43%) had age structures, and 2517 (13% of specimens; 29% of age structures) were aged. All unsorted specimens had lengths; of these, 8991 (45%) were sexed, while 709 (4%) had weights."
english sole,"English Sole were caught mostly by bottom trawl. The catch and specimen collection mainly occurred in Area 5D. Catch in Area 5E was negligible. Catch has slowly decreased since 2005. Specimen collection peaked suddenly in 1998, then decreased quickly until 2004. Area 4B had the second largest catch, but only one sample of specimens was collected. The unsorted specimens were collected consistently until 2015. Sorted specimen collection ended in 2019, with gaps from 2010 to 2012 and 2014. Nearly all unsorted samples had latitude and longitude data. All samples lacking spatial coordinates were collected in 1996, 2010, and 2011. Cumulative total sampling and catch profiles matched in most years with biological sampling, particularly from 1999 to 2005. Area 5D had the most representative sampling. Between 1996 and 2022, 17955 unsorted specimens were collected, and of these, 7234 (40%) had age structures, and 103 (1% of specimens; 20% of age structures) were aged. All unsorted specimens had lengths; of these, 742 (19%) were sexed, while 181 (5%) had weights."
lingcod,"Lingcod were caught by bottom trawl, hook and line, and occasionally by midwater trawl. The catch was slightly higher in Areas 5AB and 3CD. Catch in Area 4B was low and would have only come from minor areas 12 (Queen Charlotte Strait)  and 20 (Juan de Fuca Strait) (Figure \@ref(fig: minor-area-map)) as the commercial fishery in the Strait of Georgia has been closed since 1990 [@holt2016lingSOG]. Catch from the hook and line fishery remained relatively consistent from 2001 to 2022. The trawl fishery catch decreased from 2004 to 2020 but slightly increased from 2021 to 2022. Specimen collection was variable from 2000 to 2004 and remained low from 2005 onward. Nearly all specimens were collected from the bottom trawl fishery. Unsorted specimen collection occurred only from 1996 to 2004, missing 1997. Sorted specimens were collected consistently until 2010. Nearly all unsorted samples had latitude and longitude data. All samples lacking spatial coordinates were collected in Area 5A in 1996. Cumulative total sampling tended to be variable relative to the cumulative total catch in all years with biological sampling. Between 1996 and 2022, 3844 unsorted specimens were collected, and of these, 545 (14%) had age structures, and 108 (3% of specimens; 20% of age structures) were aged. All unsorted specimens had lengths; of these, 742 (19%) were sexed, while 181 (5%) had weights."
longnose skate,"Longnose Skate were mostly caught by bottom trawl and hook and line. The catch was slightly higher in Area 3C than in the other areas. Specimen collection was sparse and from bottom trawl only. Specimens were only collected in Areas 5D, 5B, and 3CD. Half of the specimens were unsorted, and the other half were sorted. All unsorted samples had latitude and longitude data. Cumulative total sampling tended to lead cumulative total catch in most years with biological sampling. Between 1996 and 2022, 175 unsorted specimens were collected, but none had age structures. All unsorted specimens had lengths, but none were sexed or had weights."
longspine thornyhead,"Longspine Thornyhead were mostly caught by bottom trawl. Catch and specimen collection were highest in Area 3D. The catch was negligible in Areas 5C and 4B. Catch peaked in 1999, while specimen collection peaked in 2001. Both declined until 2005 and remained low after 2007. Unsorted specimens were collected consistently from 1997 to 2018, only missing 2016. Sorted specimen collection occurred until 2018, with several gaps from 2004 to 2015. All unsorted samples had latitude and longitude data. Cumulative total sampling and catch profiles matched most of the years with biological sampling, particularly from 2000 to 2012. Between 1996 and 2022, 198013 unsorted specimens were collected, and of these, 34488 (17%) had age structures, but none were aged. Challenges in ageing otoliths, as often encountered for deep-sea species and confirmed by the SCL on research specimens, led to the choice not to age commercial otoliths. All unsorted specimens had lengths, and of these, 29916 (15%) were sexed, while 50 (<1%) had weights. The dominant length type was total length, but fork length measurements were also collected. We replaced the age frequency plot with a second length-frequency plot for fork lengths."
pacific cod,"Pacific Cod were caught mostly by bottom trawl. Catch and specimen collection was highest in Area 5D. Areas 5E and 4B had very little catch. Total catch fluctuated over the years, peaking in 1997, 2005, and 2010. Specimen collection similarly peaked in 1998, 2004, and 2010. No specimens were collected from Area 4B. Unsorted specimens were collected consistently until 2017. Sorted specimen collection ended in 2019, missing only 2015. All unsorted samples had latitude and longitude data. Cumulative total sampling and catch profiles matched most of the years with biological sampling, particularly from 2002 to 2015. Between 1996 and 2022, 122475 unsorted specimens were collected, and of these, 394 (<1%) had age structures, and 25 (<1% of specimens; 6% of age structures) were aged. Ageing methods for Pacific Cod have so far been deemed unreliable [@chilton1982age], so they were rarely collected and only aged one year. All unsorted specimens had lengths; of these, 1758 (1%) were sexed, while 1024 (1%) had weights. However, the current Pacific Cod assessment relies heavily on a commercial mean-weight index."
pacific hake,"Pacific Hake were caught mostly by midwater trawl. The catch and specimen collection was highest in Area 3C. Total catch fluctuated over time, peaking around 1996, 2004, and 2018. Except for 2004, total specimen collection has decreased since 1996. Unsorted specimens were collected consistently over the 27 years. Sorted specimen collection occurred in all years except 2014 and 2015. Very few of the unsorted samples had latitude and longitude data. Cumulative total sampling and catch profiles matched most of the years with biological sampling, particularly from 2004 to 2015. Between 1996 and 2022, 520246 unsorted specimens were collected, and of these, 137503 (26%) had age structures, and 25081 (5% of specimens; 18% of age structures) were aged. The SCL ages commercial otoliths regularly for the annual stock assessment work done jointly by DFO and NOAA. All unsorted specimens had lengths; of these, 507029 (97%) were sexed, while 22891 (4%) had weights."
pacific halibut,"Pacific Halibut were caught mostly by hook and line. The catch mainly occurred in the northern areas. The catch in Area 4B was low and would have only come from minor areas 12 (Queen Charlotte Strait) and 20 (Juan de Fuca Strait) (Figure \@ref(fig: minor-area-map)). The catch peaked in 2006 and has since slowly decreased. Specimen collection peaked in 2002 and mostly came from 'discarded' specimens. The bottom trawl fleet is not allowed to retain Pacific Halibut, but must measure them for quota management. Sorted specimens were collected consistently from 1999 to 2020, while unsorted specimen collection was limited.  Sampling was reduced starting in 2020 when the ASOP stopped sampling on bottom trawl vessels due to the COVID-19 pandemic. Very few of the unsorted samples had latitude and longitude data. All the samples with spatial coordinates were collected in Area 5E in 2003. Cumulative total sampling and catch profiles did not match in the years with biological sampling. Between 1996 and 2022, 208 unsorted specimens were collected, and of these, 1 (<1%) had age structures, but none were aged. All unsorted specimens had lengths; of these, 64 (31%) were sexed, while 142 (68%) had weights."
pacific ocean perch,"Pacific Ocean Perch were primarily caught by bottom trawl and occasionally by midwater trawl. Areas 5E and 5B had the highest catch. The catch in Area 4B was negligible. The catch has slowly decreased since the early 2000s. Specimen collection was highest in Area 5B. Specimen collection peaked suddenly in 1998, then declined after 2001. Unsorted specimen collection ended in 2020, missing 1996 and 2019. Sorted specimen collection ended in 2019, with a gap from 2012 to 2015. Nearly all of the unsorted samples had latitude and longitude data. Most samples lacking spatial coordinates were collected from 2006 to 2018. Cumulative total sampling and catch profiles matched in most years with biological sampling, particularly from 2001 to 2014. Area 5B had the most representative sampling. Between 1996 and 2022, 68771 unsorted specimens were collected, and of these, 33129 (48%) had age structures, and 12771 (19% of specimens; 39% of age structures) were aged. All unsorted specimens had lengths; of these, 35080 (51%) were sexed, while 1113 (2%) had weights."
pacific spiny dogfish,"Pacific Spiny Dogfish were primarily caught by hook and line but occasionally by bottom and midwater trawl. The majority of the catch came from Areas 3CD and 4B. The catch peaked in 2004, then declined until 2014, and has since remained low. Specimen collection was highest in Area 3C and peaked in 1998. Unsorted specimen collection ended in 2016 and was missing in 2005, 2007, and 2008. Sorted specimen collection ended in 2019 and was missing in 1997, 2012, and 2015. Roughly half of the unsorted samples had latitude and longitude data. Most of the samples that lacked spatial coordinates were collected in Areas 4B and 3C from 2009 to 2013 and 1996 to 2001, respectively. Cumulative total sampling tended to be variable relative to cumulative total catch in most years with biological sampling. Between 1996 and 2022, 35449 unsorted specimens were collected, and of these, 320 (1%) had age structures, but none were aged. All unsorted specimens had lengths; of these, 21934 (62%) were sexed, but none had weights. Since there were no age data to plot, we replaced the age frequency plot with a second length-frequency plot for fork lengths."
petrale sole,"Petrale Sole were caught mostly by bottom trawl. The catch was highest in Area 3C, while the catch in Area 4B was negligible. The catch slowly increased until 2011, slowly decreased until 2020, then increased again until 2022. Specimen collection peaked in 1999, then decreased until 2003. Unsorted specimen collection occurred from 1998 to 2015, missing only 2000. Sorted specimen collection ended in 2017, with a large gap from 2010 to 2015. Nearly all of the unsorted samples had latitude and longitude data. Most samples that lacked spatial coordinates were collected between 2009 and 2013. Cumulative total sampling tended to lead cumulative total catch in most years with biological sampling. Between 1996 and 2022, 3578 unsorted specimens were collected, and of these, 2435 (68%) had age structures, and 1186 (33% of specimens; 49% of age structures) were aged. All unsorted specimens had lengths; of these, 2511 (70%) were sexed, while 658 (18%) had weights."
quillback rockfish,"Quillback Rockfish were caught mostly by hook and line. Catch was highest in Area 4B. Commercial catch was highest in 1996, then decreased until 2002, after which it remained stable. Specimen collection was highest in Area 4B and peaked in 2001. Unsorted and sorted specimen collection was limited and inconsistent ending in 2015 and 2008, respectively. Very few of the unsorted samples had latitude and longitude data. Most of the samples that included spatial coordinates were collected in 2001, 2003, 2009, and 2015. Cumulative total sampling and catch profiles did not match, which is consistent with low sampling representativeness. Between 1996 and 2022, 2347 unsorted specimens were collected, and of these, 1349 (57%) had age structures, and 868 (37% of specimens; 64% of age structures) were aged. All unsorted specimens had lengths; of these, 1523 (65%) were sexed, while 1688 (72%) had weights."
redbanded rockfish,"Redbanded Rockfish were caught equally by bottom trawl and hook and line, with a small portion by midwater trawl. Catch was highest in Area 5B and negligible in Area 4B. Catch remained consistent over time, with minor fluctuations. Specimen collection was limited. Unsorted specimen collection was inconsistent from 1996 to 2013, with many gaps. Sorted specimen collection occurred from 1997 to 2009 and in 2015. Nearly all of the unsorted samples had latitude and longitude data. All the samples that lacked spatial coordinates were collected in 1996 and 2010. Cumulative total sampling and catch profiles did not match, which is consistent with low sampling representativeness. Between 1996 and 2022, 1160 unsorted specimens were collected, and of these, 701 (60%) had age structures, and 386 (33% of specimens; 55% of age structures) were aged. All unsorted specimens had lengths; of these, 702 (61%) were sexed, while 182 (16%) had weights."
redstripe rockfish,"Redstripe Rockfish were caught by bottom and midwater trawl. Catch and specimen collection occurred relatively evenly in all areas except Areas 5D and 4B, where the catch was negligible, and no specimens were collected. Catch gradually declined from 2000 to 2010 and again from 2011 to 2022. Specimen collection peaked suddenly in 1998, then decreased quickly after 2000. Unsorted specimens were collected consistently until 2018. Sorted specimen collection ended in 2020, with a gap from 2012 to 2014. Nearly all of the unsorted samples had latitude and longitude data. Cumulative total sampling and catch profiles matched in most years with biological sampling, particularly from 2001 to 2009. Between 1996 and 2022, 32068 unsorted specimens were collected, and of these, 12303 (38%) had age structures, and 3677 (11% of specimens; 30% of age structures) were aged. All unsorted specimens had lengths; of these, 13113 (41%) were sexed, while 721 (2%) had weights."
rougheye/blackspotted rockfish complex,"Rougheye-Blackspotted Rockfish were caught by bottom and midwater trawl, hook and line, and occasionally by trap. Area 5E had the largest catch and specimen collection. The catch in Area 4B was negligible. Catch has remained relatively stable but has slowly decreased since 2013. Specimen collection peaked in 1999, then quickly declined. Unsorted specimens were collected consistently until 2018. Sorted specimen collection ended in 2019, missing 2010 and from 2012 to 2015. Nearly all of the unsorted samples had latitude and longitude data. Most samples lacking spatial coordinates were collected between 1996 and 2000 or 2009 and 2013. Cumulative total samples tended to be variable relative to cumulative total catch in most years with biological sampling. Between 1996 and 2022, 8023 unsorted specimens were collected, and of these, 7223 (90%) had age structures, and 1492 (19% of specimens; 21% of age structures) were aged. All unsorted specimens had lengths; of these, 7044 (88%) were sexed, while 2128 (27%) had weights."
sablefish,"Sablefish were caught mostly by trap and hook and line, with a small portion caught by bottom and midwater trawl. Area 5E had the highest catch and specimen collection. Catch peaked in 1999 and 2005 and has been increasing again since 2014. The catch in Area 4B was negligible. Specimen collection peaked in 1999, then decreased suddenly. Unsorted specimens were collected consistently until 2022 and are ongoing. Sorted specimen collection was inconsistent, ending in 2020, with large gaps from 2003 to 2015. Roughly half of the unsorted samples had latitude and longitude data. Most samples lacking spatial coordinates were collected between 2013 and 2022. Cumulative total sampling and catch profiles matched in most of the years with biological sampling. Between 1996 and 2022, 56907 unsorted specimens were collected, and of these, 38792 (68%) had age structures, and 8895 (16% of specimens; 23% of age structures) were aged. All unsorted specimens had lengths; of these, 46193 (81%) were sexed, while 33368 (59%) had weights. Unsorted specimen samples were historically abundant, but sample sizes have been low recently, especially from the hook and line and trawl fisheries. The sampling method differed among gear types. Trawl catch was sampled as part of the ASOP (1996--2020). Trap and hook and line fisheries have been sampled by a voluntary commercial catch sampling program since 1995 [@haist2001sablefish]. Under the voluntary program, samples are collected and frozen at sea by a fishing crew and brought back to shore for biological sampling. Before 2018, samples of whole fish were frozen. Starting in 2018, a head-only sampling program was initiated [@lacko2023sablefish_head]."
shortraker rockfish,"Shortracker Rockfish were primarily caught by hook and line and bottom trawl. Areas 5E and 3D had the largest catch, though all areas had low catches. Catch remained stable over time, with minor fluctuations. Specimen collection was limited and infrequent, occurring only in Areas 5E, 3D, and 4B. Very few of the unsorted samples had latitude and longitude data. The only sample with spatial coordinates was collected in Area 3D in 2002. Cumulative total sampling and catch profiles did not match, which is consistent with low sampling representativeness. Between 1996 and 2022, 53 unsorted specimens were collected, and of these, 49 (92%) had age structures, but none were aged. All unsorted specimens had lengths; of these, 51 (96%) were sexed, while 52 (98%) had weights."
